<pre>
 
                Tageswerte der Station 10655 W�rzburg                                               
 STAT JJJJMMDD QN     TG     TN     TM     TX    RFM     FM     FX     SO     NM     RR     PM
10655 20260318  1   -2.7    1.0    7.6   13.9   64.6    3.0   11.2   11.3    0.0    0.0  993.2
10655 20260317  1    0.1    1.7    5.8    9.8   83.5    2.0    6.5    0.2    7.6    0.0  990.8
10655 20260316  1   -0.4    1.6    4.2    8.3   83.7    3.0   15.8    3.1    6.0    7.5  985.1
10655 20260315  1    0.0    2.2    5.0    7.6   79.8    2.0    4.7    0.2    7.5    0.4  982.3
10655 20260314  1    3.1    4.2    7.2   11.1   74.5    3.0   10.3    0.0    7.5    0.3  970.6
10655 20260313  1   -0.1    1.7    8.6   14.7   68.5    3.0   13.5    7.8    6.9    0.2  979.2
10655 20260312  1    1.2    3.3    8.1   12.8   75.4    2.0   11.0    8.6    3.9    0.0  989.8
10655 20260311  1    5.6    7.3   10.2   14.1   82.7    3.0   13.0    3.2    7.3    6.1  985.5
10655 20260310  1    0.8    1.9   10.3   18.7   71.2    2.0   11.8    8.9    3.2    0.6  986.8
10655 20260309  1   -0.6    1.7    8.9   17.2   72.7    1.0    5.1    9.8    1.3    0.0  989.2
10655 20260308  1    0.3    2.3    8.6   16.3   71.8    1.0    5.1    8.8    6.3    0.0  992.3
10655 20260307  1    0.1    2.1    9.2   17.4   65.9    1.0    5.1    9.8    5.8    0.0  992.3
10655 20260306  1   -0.9    2.4    8.7   15.8   66.8    2.0    6.3    9.9    3.0    0.0  990.3
10655 20260305  1   -1.5    1.0    8.2   15.6                  9.0   10.6           0.0       
10655 20260304  1   -1.1    1.3    7.7   15.0                         9.9           0.0       
10655 20260303  3   -2.0    0.5    7.0   14.3                  4.1   10.2           0.0       
10655 20260302  3   -2.1    0.3    7.3   14.5                  8.7   10.3           0.0       
10655 20260301  3    0.7    2.9    7.6   13.7   70.6    2.0    8.6    7.7    3.9    0.0  993.4
10655 20260228  3    1.6    2.8    9.4   15.2   74.3    3.0   14.0    7.3    5.8    0.0  989.1
10655 20260227  3    1.7    2.0    8.9   18.3                         6.3           0.0       
10655 20260226  3    3.7    4.0    7.8   14.4                         3.9           0.0       
10655 20260225  3    3.0    5.3    6.8    8.7   97.2    2.0    6.5    0.0    7.4    0.0  991.7
10655 20260224  3    5.4    7.1    9.0   12.4   84.8    2.0   10.9    1.1    7.6    0.0  988.2
